2026-02-24 00:19:20 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:22 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:24 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:27 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:29 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:31 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:33 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:34 | INFO     | ai_news_aggregator.llm_summarizer_agent | [LLMSummarizer] Summarised 30 articles
2026-02-24 00:19:35 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:38 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:40 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:43 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:47 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:50 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:53 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:55 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:19:57 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:00 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:02 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:05 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:07 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:09 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:11 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:14 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:16 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:20 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:22 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:24 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}
2026-02-24 00:20:24 | INFO     | ai_news_aggregator.llm_summarizer_agent | [LLMSummarizer] Summarised 20 papers
2026-02-24 00:20:24 | INFO     | ai_news_aggregator.llm_summarizer_agent | [LLMSummarizer] Done in 129.0s
2026-02-24 00:20:24 | INFO     | ai_news_aggregator.storage_agent | [StorageAgent] Persisting data to database …
2026-02-24 00:21:14 | INFO     | ai_news_aggregator.storage_agent | Stored 1958 new articles (out of 1958)
2026-02-24 00:21:14 | INFO     | ai_news_aggregator.storage_agent | Stored 8 new repos (out of 8)
2026-02-24 00:21:14 | INFO     | ai_news_aggregator.research_paper_agent | Stored 20 new research papers
2026-02-24 00:21:14 | INFO     | ai_news_aggregator.storage_agent | Stored 20 new research papers (out of 20)
2026-02-24 00:21:14 | INFO     | ai_news_aggregator.storage_agent | [StorageAgent] Done in 50.2s
2026-02-24 00:21:14 | INFO     | ai_news_aggregator.pipeline    | Pipeline complete — articles=1958, repos=8, papers=20
2026-02-24 00:21:49 | INFO     | ai_news_aggregator.pipeline    | ============================================================
2026-02-24 00:21:49 | INFO     | ai_news_aggregator.pipeline    | Pipeline run starting — run_id=153aedcb-b84
2026-02-24 00:21:49 | INFO     | ai_news_aggregator.pipeline    | ============================================================
2026-02-24 00:21:49 | INFO     | ai_news_aggregator.data_collector_agent | [DataCollector] Starting data collection …
2026-02-24 00:21:50 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:21:51 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:21:53 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:21:55 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:21:56 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:21:58 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:21:59 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:22:01 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:22:03 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:22:05 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:22:07 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
2026-02-24 00:22:08 | WARNING  | ai_news_aggregator.llm_summarizer_agent | LLM call failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_2tCjgM8VJaMUmcDf1kNzhjXmmVW'}
